Date,Open,High,Low,Close,Adj Close,Volume,Day
2021-02-24,18.23,18.23,18.23,18.23,15.901065,0,1868
2021-02-25,17.139999,17.139999,17.139999,17.139999,14.950315,0,1869
2021-02-26,17.59,17.59,17.59,17.59,15.342828,0,1870
2021-03-01,18.129999,18.129999,18.129999,18.129999,15.813841,0,1871
2021-03-02,17.549999,17.549999,17.549999,17.549999,15.307937,0,1872
2021-03-03,16.98,16.98,16.98,16.98,14.810756,0,1873
2021-03-04,16.15,16.15,16.15,16.15,14.086791,0,1874
2021-03-05,16.629999,16.629999,16.629999,16.629999,14.505468,0,1875
2021-03-08,15.74,15.74,15.74,15.74,13.729169,0,1876
2021-03-09,16.75,16.75,16.75,16.75,14.610139,0,1877
2021-03-10,16.49,16.49,16.49,16.49,14.383354,0,1878
2021-03-11,17.17,17.17,17.17,17.17,14.976482,0,1879
2021-03-12,17.01,17.01,17.01,17.01,14.836925,0,1880
2021-03-15,17.41,17.41,17.41,17.41,15.185823,0,1881
2021-03-16,17.629999,17.629999,17.629999,17.629999,15.377717,0,1882
2021-03-17,17.860001,17.860001,17.860001,17.860001,15.578333,0,1883
2021-03-18,17.09,17.09,17.09,17.09,14.906704,0,1884
2021-03-19,17.34,17.34,17.34,17.34,15.124764,0,1885
2021-03-22,17.639999,17.639999,17.639999,17.639999,15.38644,0,1886
2021-03-23,17.110001,17.110001,17.110001,17.110001,14.924148,0,1887
2021-03-24,16.82,16.82,16.82,16.82,14.671196,0,1888
2021-03-25,16.82,16.82,16.82,16.82,14.671196,0,1889
2021-03-26,17.57,17.57,17.57,17.57,15.325381,0,1890
2021-03-29,17.32,17.32,17.32,17.32,15.10732,0,1891
2021-03-30,17.33,17.33,17.33,17.33,15.116043,0,1892
2021-03-31,17.83,17.83,17.83,17.83,15.552166,0,1893
2021-04-01,18.450001,18.450001,18.450001,18.450001,16.092958,0,1894
2021-04-05,18.82,18.82,18.82,18.82,16.415691,0,1895
2021-04-06,18.639999,18.639999,18.639999,18.639999,16.258686,0,1896
2021-04-07,18.68,18.68,18.68,18.68,16.293577,0,1897
2021-04-08,18.85,18.85,18.85,18.85,16.44186,0,1898
2021-04-09,18.110001,18.110001,18.110001,18.110001,16.416475,0,1899
2021-04-12,18.09,18.09,18.09,18.09,16.398346,0,1900
2021-04-13,18.059999,18.059999,18.059999,18.059999,16.371153,0,1901
2021-04-14,17.84,17.84,17.84,17.84,16.171724,0,1902
2021-04-15,18.219999,18.219999,18.219999,18.219999,16.516188,0,1903
2021-04-16,18.1,18.1,18.1,18.1,16.407413,0,1904
2021-04-19,17.629999,17.629999,17.629999,17.629999,15.981362,0,1905
2021-04-20,17.35,17.35,17.35,17.35,15.727547,0,1906
2021-04-21,17.809999,17.809999,17.809999,17.809999,16.144529,0,1907
2021-04-22,17.34,17.34,17.34,17.34,15.718482,0,1908
2021-04-23,17.719999,17.719999,17.719999,17.719999,16.062946,0,1909
2021-04-26,18.030001,18.030001,18.030001,18.030001,16.343958,0,1910
2021-04-27,17.889999,17.889999,17.889999,17.889999,16.217049,0,1911
2021-04-28,17.639999,17.639999,17.639999,17.639999,15.990429,0,1912
2021-04-29,17.75,17.75,17.75,17.75,16.090141,0,1913
2021-04-30,17.209999,17.209999,17.209999,17.209999,15.600637,0,1914
2021-05-03,17,17,17,17,15.410275,0,1915
2021-05-04,16.719999,16.719999,16.719999,16.719999,15.156459,0,1916
2021-05-05,16.799999,16.799999,16.799999,16.799999,15.228978,0,1917
2021-05-06,16.91,16.91,16.91,16.91,15.328692,0,1918
2021-05-07,17.200001,17.200001,17.200001,17.200001,15.591575,0,1919
2021-05-10,16.440001,16.440001,16.440001,16.440001,14.902644,0,1920
2021-05-11,16.5,16.5,16.5,16.5,14.957033,0,1921
2021-05-12,15.75,15.75,15.75,15.75,14.277167,0,1922
2021-05-13,15.95,15.95,15.95,15.95,14.458465,0,1923
2021-05-14,16.450001,16.450001,16.450001,16.450001,14.91171,0,1924
2021-05-17,16.32,16.32,16.32,16.32,14.793865,0,1925
2021-05-18,16.18,16.18,16.18,16.18,14.666958,0,1926
2021-05-19,16.5,16.5,16.5,16.5,14.957033,0,1927
2021-05-20,16.98,16.98,16.98,16.98,15.392145,0,1928
2021-05-21,16.98,16.98,16.98,16.98,15.392145,0,1929
2021-05-24,17.440001,17.440001,17.440001,17.440001,15.809131,0,1930
2021-05-25,17.459999,17.459999,17.459999,17.459999,15.82726,0,1931
2021-05-26,17.540001,17.540001,17.540001,17.540001,15.899779,0,1932
2021-05-27,17.629999,17.629999,17.629999,17.629999,15.981362,0,1933
2021-05-28,17.870001,17.870001,17.870001,17.870001,16.198921,0,1934
2021-06-01,17.799999,17.799999,17.799999,17.799999,16.135466,0,1935
2021-06-02,17.940001,17.940001,17.940001,17.940001,16.262373,0,1936
2021-06-03,17.700001,17.700001,17.700001,17.700001,16.044817,0,1937
2021-06-04,18.139999,18.139999,18.139999,18.139999,16.44367,0,1938
2021-06-07,18.059999,18.059999,18.059999,18.059999,16.371153,0,1939
2021-06-08,17.950001,17.950001,17.950001,17.950001,16.271439,0,1940
2021-06-09,17.84,17.84,17.84,17.84,16.171724,0,1941
2021-06-10,18.040001,18.040001,18.040001,18.040001,16.353024,0,1942
2021-06-11,18.18,18.18,18.18,18.18,16.479933,0,1943
2021-06-14,18.42,18.42,18.42,18.42,16.697489,0,1944
2021-06-15,18.27,18.27,18.27,18.27,16.561514,0,1945
2021-06-16,18.18,18.18,18.18,18.18,16.479933,0,1946
2021-06-17,18.450001,18.450001,18.450001,18.450001,16.724682,0,1947
2021-06-18,18.08,18.08,18.08,18.08,16.38928,0,1948
2021-06-21,18.16,18.16,18.16,18.16,16.4618,0,1949
2021-06-22,18.280001,18.280001,18.280001,18.280001,16.570581,0,1950
2021-06-23,18.379999,18.379999,18.379999,18.379999,16.661228,0,1951
2021-06-24,18.690001,18.690001,18.690001,18.690001,16.94224,0,1952
2021-06-25,18.629999,18.629999,18.629999,18.629999,16.887848,0,1953
2021-06-28,19.17,19.17,19.17,19.17,17.377354,0,1954
2021-06-29,19.27,19.27,19.27,19.27,17.468002,0,1955
2021-06-30,19.24,19.24,19.24,19.24,17.440807,0,1956
2021-07-01,19.030001,19.030001,19.030001,19.030001,17.250446,0,1957
2021-07-02,19.16,19.16,19.16,19.16,17.368288,0,1958
2021-07-06,19.139999,19.139999,19.139999,19.139999,17.350159,0,1959
2021-07-07,18.85,18.85,18.85,18.85,17.087276,0,1960
2021-07-08,18.58,18.58,18.58,18.58,16.842525,0,1961
2021-07-09,18.860001,18.860001,18.860001,18.860001,17.096342,0,1962
2021-07-12,19.110001,19.110001,19.110001,19.110001,17.322964,0,1963
2021-07-13,18.959999,18.959999,18.959999,18.959999,17.186989,0,1964
2021-07-14,18.799999,18.799999,18.799999,18.799999,17.04195,0,1965
2021-07-15,18.309999,18.309999,18.309999,18.309999,16.597775,0,1966
2021-07-16,17.809999,17.809999,17.809999,17.809999,16.144529,0,1967
2021-07-19,17.91,17.91,17.91,17.91,16.23518,0,1968
2021-07-20,18.15,18.15,18.15,18.15,16.452738,0,1969
2021-07-21,18.74,18.74,18.74,18.74,16.987566,0,1970
2021-07-22,18.610001,18.610001,18.610001,18.610001,16.86972,0,1971
2021-07-23,18.709999,18.709999,18.709999,18.709999,16.960369,0,1972
2021-07-26,18.67,18.67,18.67,18.67,16.924109,0,1973
2021-07-27,18.360001,18.360001,18.360001,18.360001,16.643099,0,1974
2021-07-28,18.68,18.68,18.68,18.68,16.933174,0,1975
2021-07-29,19,19,19,19,17.223251,0,1976
2021-07-30,19.120001,19.120001,19.120001,19.120001,17.332029,0,1977
2021-08-02,19.32,19.32,19.32,19.32,17.513325,0,1978
2021-08-03,19.48,19.48,19.48,19.48,17.658363,0,1979
2021-08-04,19.700001,19.700001,19.700001,19.700001,17.85779,0,1980
2021-08-05,19.74,19.74,19.74,19.74,17.894049,0,1981
2021-08-06,19.700001,19.700001,19.700001,19.700001,17.85779,0,1982
2021-08-09,19.65,19.65,19.65,19.65,17.812464,0,1983
2021-08-10,19.4,19.4,19.4,19.4,17.585846,0,1984
2021-08-11,19.35,19.35,19.35,19.35,17.540522,0,1985
2021-08-12,19.190001,19.190001,19.190001,19.190001,17.395483,0,1986
2021-08-13,19.309999,19.309999,19.309999,19.309999,17.504261,0,1987
2021-08-16,19.200001,19.200001,19.200001,19.200001,17.404547,0,1988
2021-08-17,18.790001,18.790001,18.790001,18.790001,17.032888,0,1989
2021-08-18,18.540001,18.540001,18.540001,18.540001,16.806267,0,1990
2021-08-19,18.77,18.77,18.77,18.77,17.014757,0,1991
2021-08-20,19.07,19.07,19.07,19.07,17.286703,0,1992
2021-08-23,19.68,19.68,19.68,19.68,17.839663,0,1993
2021-08-24,19.709999,19.709999,19.709999,19.709999,17.866856,0,1994
2021-08-25,19.940001,19.940001,19.940001,19.940001,18.075348,0,1995
2021-08-26,19.969999,19.969999,19.969999,19.969999,18.102541,0,1996
2021-08-27,20.35,20.35,20.35,20.35,18.447008,0,1997
2021-08-30,20.41,20.41,20.41,20.41,18.501398,0,1998
2021-08-31,20.139999,20.139999,20.139999,20.139999,18.256645,0,1999
2021-09-01,20.059999,20.059999,20.059999,20.059999,18.184124,0,2000
2021-09-02,20.129999,20.129999,20.129999,20.129999,18.24758,0,2001
2021-09-03,20.299999,20.299999,20.299999,20.299999,18.401682,0,2002
2021-09-07,20.209999,20.209999,20.209999,20.209999,18.320097,0,2003
2021-09-08,19.940001,19.940001,19.940001,19.940001,18.075348,0,2004
2021-09-09,20.02,20.02,20.02,20.02,18.147865,0,2005
2021-09-10,20.200001,20.200001,20.200001,20.200001,18.311035,0,2006
2021-09-13,20.32,20.32,20.32,20.32,18.419813,0,2007
2021-09-14,20.309999,20.309999,20.309999,20.309999,18.410746,0,2008
2021-09-15,20.43,20.43,20.43,20.43,18.519526,0,2009
2021-09-16,20.459999,20.459999,20.459999,20.459999,18.546721,0,2010
2021-09-17,20.17,20.17,20.17,20.17,18.28384,0,2011
2021-09-20,19.620001,19.620001,19.620001,19.620001,17.785271,0,2012
2021-09-21,19.700001,19.700001,19.700001,19.700001,17.85779,0,2013
2021-09-22,20.17,20.17,20.17,20.17,18.28384,0,2014
2021-09-23,20.51,20.51,20.51,20.51,18.592045,0,2015
2021-09-24,20.450001,20.450001,20.450001,20.450001,18.537657,0,2016
2021-09-27,20.360001,20.360001,20.360001,20.360001,18.456074,0,2017
2021-09-28,19.549999,19.549999,19.549999,19.549999,17.721817,0,2018
2021-09-29,19.219999,19.219999,19.219999,19.219999,17.422676,0,2019
2021-09-30,19.25,19.25,19.25,19.25,17.449871,0,2020
2021-10-01,19.25,19.25,19.25,19.25,17.449871,0,2021
2021-10-04,18.67,18.67,18.67,18.67,16.924109,0,2022
2021-10-05,19.030001,19.030001,19.030001,19.030001,17.250446,0,2023
2021-10-06,19.17,19.17,19.17,19.17,17.377354,0,2024
2021-10-07,19.440001,19.440001,19.440001,19.440001,17.622105,0,2025
2021-10-08,19.24,19.24,19.24,19.24,17.440807,0,2026
2021-10-11,19.07,19.07,19.07,19.07,17.286703,0,2027
2021-10-12,18.889999,18.889999,18.889999,18.889999,17.123537,0,2028
2021-10-13,18.99,18.99,18.99,18.99,17.214186,0,2029
2021-10-14,19.57,19.57,19.57,19.57,17.739946,0,2030
2021-10-15,19.67,19.67,19.67,19.67,17.830597,0,2031
2021-10-18,19.9,19.9,19.9,19.9,18.039087,0,2032
2021-10-19,20.110001,20.110001,20.110001,20.110001,18.22945,0,2033
2021-10-20,20.049999,20.049999,20.049999,20.049999,18.17506,0,2034
2021-10-21,20.32,20.32,20.32,20.32,18.419813,0,2035
2021-10-22,20.120001,20.120001,20.120001,20.120001,18.238518,0,2036
2021-10-25,20.33,20.33,20.33,20.33,18.428877,0,2037
2021-10-26,20.549999,20.549999,20.549999,20.549999,18.628304,0,2038
2021-10-27,20.360001,20.360001,20.360001,20.360001,18.456074,0,2039
2021-10-28,20.889999,20.889999,20.889999,20.889999,18.93651,0,2040
2021-10-29,21.110001,21.110001,21.110001,21.110001,19.135937,0,2041
2021-11-01,21.59,21.59,21.59,21.59,19.571051,0,2042
2021-11-02,21.92,21.92,21.92,21.92,19.870192,0,2043
2021-11-03,22.139999,22.139999,22.139999,22.139999,20.06962,0,2044
2021-11-04,23.309999,23.309999,23.309999,23.309999,21.130209,0,2045
2021-11-05,23.52,23.52,23.52,23.52,21.320572,0,2046
2021-11-08,23.799999,23.799999,23.799999,23.799999,21.574387,0,2047
2021-11-09,23.76,23.76,23.76,23.76,21.538128,0,2048
2021-11-10,23.07,23.07,23.07,23.07,20.912651,0,2049
2021-11-11,23.6,23.6,23.6,23.6,21.393089,0,2050
2021-11-12,23.709999,23.709999,23.709999,23.709999,21.492802,0,2051
2021-11-15,23.68,23.68,23.68,23.68,21.465611,0,2052
2021-11-16,24.02,24.02,24.02,24.02,21.773813,0,2053
2021-11-17,23.799999,23.799999,23.799999,23.799999,21.574387,0,2054
2021-11-18,24.440001,24.440001,24.440001,24.440001,22.154539,0,2055
2021-11-19,24.700001,24.700001,24.700001,24.700001,22.390224,0,2056
2021-11-22,24.32,24.32,24.32,24.32,22.045759,0,2057
2021-11-23,24.209999,24.209999,24.209999,24.209999,21.946047,0,2058
2021-11-24,24.610001,24.610001,24.610001,24.610001,22.308643,0,2059
2021-11-26,23.84,23.84,23.84,23.84,21.610647,0,2060
2021-11-29,24.92,24.92,24.92,24.92,22.589653,0,2061
2021-11-30,24.43,24.43,24.43,24.43,22.145473,0,2062
2021-12-01,24.15,24.15,24.15,24.15,21.891657,0,2063
2021-12-02,24.280001,24.280001,24.280001,24.280001,22.009501,0,2064
2021-12-03,24.32,24.32,24.32,24.32,22.045759,0,2065
2021-12-06,24.129999,24.129999,24.129999,24.129999,21.873528,0,2066
2021-12-07,25.49,25.49,25.49,25.49,23.10635,0,2067
2021-12-08,25.24,25.24,25.24,25.24,22.879726,0,2068
2021-12-09,24.639999,24.639999,24.639999,24.639999,22.335835,0,2069
2021-12-10,24.780001,24.780001,24.780001,24.780001,22.462744,0,2070
2021-12-13,23.959999,23.959999,23.959999,23.959999,21.719423,0,2071
2021-12-14,23.85,23.85,23.85,23.85,21.619711,0,2072
2021-12-15,24.84,24.84,24.84,24.84,22.517134,0,2073
2021-12-16,23.68,23.68,23.68,23.68,21.465611,0,2074
2021-12-17,22.639999,22.639999,22.639999,22.639999,21.384377,0,2075
2021-12-20,22.48,22.48,22.48,22.48,21.233252,0,2076
2021-12-21,23.280001,23.280001,23.280001,23.280001,21.988884,0,2077
2021-12-22,23.559999,23.559999,23.559999,23.559999,22.253353,0,2078
2021-12-23,23.719999,23.719999,23.719999,23.719999,22.40448,0,2079
2021-12-27,24.49,24.49,24.49,24.49,23.131775,0,2080
2021-12-28,24.15,24.15,24.15,24.15,22.810633,0,2081
2021-12-29,24.129999,24.129999,24.129999,24.129999,22.79174,0,2082
2021-12-30,23.870001,23.870001,23.870001,23.870001,22.546162,0,2083
2021-12-31,23.84,23.84,23.84,23.84,22.517824,0,2084
2022-01-03,24.290001,24.290001,24.290001,24.290001,22.942867,0,2085
2022-01-04,24.040001,24.040001,24.040001,24.040001,22.706734,0,2086
2022-01-05,23.030001,23.030001,23.030001,23.030001,21.752747,0,2087
2022-01-06,23.24,23.24,23.24,23.24,21.951099,0,2088
2022-01-07,22.51,22.51,22.51,22.51,21.261585,0,2089
2022-01-10,22.559999,22.559999,22.559999,22.559999,21.308813,0,2090
2022-01-11,23.040001,23.040001,23.040001,23.040001,21.762192,0,2091
2022-01-12,23.139999,23.139999,23.139999,23.139999,21.856646,0,2092
2022-01-13,22.4,22.4,22.4,22.4,21.157686,0,2093
2022-01-14,22.870001,22.870001,22.870001,22.870001,21.601622,0,2094
2022-01-18,21.84,21.84,21.84,21.84,20.628746,0,2095
2022-01-19,21.200001,21.200001,21.200001,21.200001,20.02424,0,2096
2022-01-20,20.469999,20.469999,20.469999,20.469999,19.334726,0,2097
2022-01-21,20.09,20.09,20.09,20.09,18.975801,0,2098
2022-01-24,20.280001,20.280001,20.280001,20.280001,19.155266,0,2099
2022-01-25,19.389999,19.389999,19.389999,19.389999,18.314623,0,2100
2022-01-26,19.76,19.76,19.76,19.76,18.664104,0,2101
2022-01-27,18.809999,18.809999,18.809999,18.809999,17.76679,0,2102
2022-01-28,19.26,19.26,19.26,19.26,18.191833,0,2103
2022-01-31,20.49,20.49,20.49,20.49,19.353617,0,2104
2022-02-01,20.629999,20.629999,20.629999,20.629999,19.485851,0,2105
2022-02-02,21.059999,21.059999,21.059999,21.059999,19.892004,0,2106
2022-02-03,20.030001,20.030001,20.030001,20.030001,18.91913,0,2107
2022-02-04,20.26,20.26,20.26,20.26,19.136374,0,2108
2022-02-07,20.42,20.42,20.42,20.42,19.287498,0,2109
2022-02-08,20.969999,20.969999,20.969999,20.969999,19.806995,0,2110
2022-02-09,21.74,21.74,21.74,21.74,20.534292,0,2111
2022-02-10,20.99,20.99,20.99,20.99,19.825888,0,2112
2022-02-11,19.77,19.77,19.77,19.77,18.67355,0,2113
2022-02-14,19.82,19.82,19.82,19.82,18.720776,0,2114
2022-02-15,21.07,21.07,21.07,21.07,19.901449,0,2115
2022-02-16,21.049999,21.049999,21.049999,21.049999,19.882559,0,2116
2022-02-17,19.98,19.98,19.98,19.98,18.871902,0,2117
2022-02-18,19.780001,19.780001,19.780001,19.780001,18.682995,0,2118
2022-02-22,19.610001,19.610001,19.610001,19.610001,18.522423,0,2119
2022-02-23,19.110001,19.110001,19.110001,19.110001,18.050154,0,2120
2022-02-24,19.959999,19.959999,19.959999,19.959999,18.853012,0,2121
2022-02-25,20.299999,20.299999,20.299999,20.299999,19.174154,0,2122
2022-02-28,20.23,20.23,20.23,20.23,19.108036,0,2123
2022-03-01,19.49,19.49,19.49,19.49,18.409077,0,2124
2022-03-02,20.120001,20.120001,20.120001,20.120001,19.004137,0,2125
2022-03-03,19.75,19.75,19.75,19.75,18.654659,0,2126
2022-03-04,19.200001,19.200001,19.200001,19.200001,18.13516,0,2127
2022-03-07,18.17,18.17,18.17,18.17,17.162285,0,2128
2022-03-08,18.57,18.57,18.57,18.57,17.5401,0,2129
2022-03-09,19.42,19.42,19.42,19.42,18.342958,0,2130
2022-03-10,19.110001,19.110001,19.110001,19.110001,18.050154,0,2131
2022-03-11,18.690001,18.690001,18.690001,18.690001,17.653446,0,2132
2022-03-14,18.139999,18.139999,18.139999,18.139999,17.133947,0,2133
2022-03-15,19.190001,19.190001,19.190001,19.190001,18.125715,0,2134
2022-03-16,20.24,20.24,20.24,20.24,19.117483,0,2135
2022-03-17,20.43,20.43,20.43,20.43,19.296944,0,2136
2022-03-18,21.129999,21.129999,21.129999,21.129999,19.958124,0,2137
2022-03-21,21.059999,21.059999,21.059999,21.059999,19.892004,0,2138
2022-03-22,21.09,21.09,21.09,21.09,19.920341,0,2139
2022-03-23,20.48,20.48,20.48,20.48,19.344172,0,2140
2022-03-24,21.73,21.73,21.73,21.73,20.524847,0,2141
2022-03-25,21.66,21.66,21.66,21.66,20.458729,0,2142
2022-03-28,21.75,21.75,21.75,21.75,20.543737,0,2143
2022-03-29,22.209999,22.209999,22.209999,22.209999,20.978224,0,2144
2022-03-30,21.4,21.4,21.4,21.4,20.213148,0,2145
2022-03-31,20.969999,20.969999,20.969999,20.969999,19.806995,0,2146
2022-04-01,20.610001,20.610001,20.610001,20.610001,19.466963,0,2147
2022-04-04,20.93,20.93,20.93,20.93,19.769217,0,2148
2022-04-05,19.9,19.9,19.9,19.9,18.796337,0,2149
2022-04-06,19.290001,19.290001,19.290001,19.290001,18.220171,0,2150
2022-04-07,19.24,19.24,19.24,19.24,18.172943,0,2151
2022-04-08,17.950001,17.950001,17.950001,17.950001,17.59083,0,2152
2022-04-11,17.450001,17.450001,17.450001,17.450001,17.100834,0,2153
2022-04-12,17.35,17.35,17.35,17.35,17.002834,0,2154
2022-04-13,17.82,17.82,17.82,17.82,17.463428,0,2155
2022-04-14,17.280001,17.280001,17.280001,17.280001,16.934237,0,2156
2022-04-18,17.620001,17.620001,17.620001,17.620001,17.267431,0,2157
2022-04-19,18.030001,18.030001,18.030001,18.030001,17.669228,0,2158
2022-04-20,17.84,17.84,17.84,17.84,17.48303,0,2159
2022-04-21,17.23,17.23,17.23,17.23,16.885235,0,2160
2022-04-22,16.82,16.82,16.82,16.82,16.483438,0,2161
2022-04-25,17.190001,17.190001,17.190001,17.190001,16.846035,0,2162
2022-04-26,16.450001,16.450001,16.450001,16.450001,16.120842,0,2163
2022-04-27,16.35,16.35,16.35,16.35,16.022844,0,2164
2022-04-28,17.309999,17.309999,17.309999,17.309999,16.963634,0,2165
2022-04-29,16.530001,16.530001,16.530001,16.530001,16.199244,0,2166
2022-05-02,17.16,17.16,17.16,17.16,16.816637,0,2167
2022-05-03,17.290001,17.290001,17.290001,17.290001,16.944035,0,2168
2022-05-04,18.01,18.01,18.01,18.01,17.64963,0,2169
2022-05-05,17.030001,17.030001,17.030001,17.030001,16.689238,0,2170
2022-05-06,16.9,16.9,16.9,16.9,16.561838,0,2171
2022-05-09,15.86,15.86,15.86,15.86,15.542648,0,2172
2022-05-10,16.33,16.33,16.33,16.33,16.003244,0,2173
2022-05-11,15.67,15.67,15.67,15.67,15.356451,0,2174
2022-05-12,15.7,15.7,15.7,15.7,15.38585,0,2175
2022-05-13,16.690001,16.690001,16.690001,16.690001,16.356041,0,2176
2022-05-16,16.360001,16.360001,16.360001,16.360001,16.032644,0,2177
2022-05-17,17.190001,17.190001,17.190001,17.190001,16.846035,0,2178
2022-05-18,16.290001,16.290001,16.290001,16.290001,15.964045,0,2179
2022-05-19,16.309999,16.309999,16.309999,16.309999,15.983644,0,2180
2022-05-20,16.27,16.27,16.27,16.27,15.944445,0,2181
2022-05-23,16.35,16.35,16.35,16.35,16.022844,0,2182
